danieltosh,b'congrats dad!!! https://t.co/lFijMOMedo'
danieltosh,b'#operationwhitewatch\nhttps://t.co/7UjGD9SFBQ'
danieltosh,b'you guessed it - the ballerina wife and i are rewatching the royal wedding again tonight. tweeting #tosh doesn\xe2\x80\x99t hold a candle to that givenchy dress!! next week! xoxo'
danieltosh,"b'heads up, this is the penultimate tweet about the penultimate episode of this season of #tosh! see you in less than two hours!!'"
danieltosh,b'they should rest curry and durant for the remainder of the playoffs for next year\xe2\x80\x99s three-peat.'
danieltosh,b'enjoy going down mr. e\xe2\x80\x99s rabbit hole before tonight\xe2\x80\x99s new #tosh! https://t.co/EcMwl7S6a7'
danieltosh,b'solid question. the people need answers! https://t.co/D8keeP8vQZ'
danieltosh,b'answer him!!! https://t.co/9zbzSxCl10'
danieltosh,b'hey @littlecaesars are you prepared to price match this @dominos insurance deal?'
danieltosh,b'hey @dominos can i waive the insurance if i\xe2\x80\x99m an @americanexpress cardholder?'
danieltosh,"b'hey @dominos if i drop 3 pizzas in a one week period, do my rates skyrocket?'"
danieltosh,"b'hey @dominos do you also cover second-hand pizza accidents? ie, i take 2 slices home from a party and drop them, do i get a free piping hot pie?'"
danieltosh,b'hey @dominos will my clumsy children be covered by my pizza policy until they\xe2\x80\x99re 26?'
danieltosh,b'hey @dominos can i get premium insurance? what\xe2\x80\x99s the deductible?'
danieltosh,b'hey @dominos what if i was eating a slice and a pepperoni hit the deck? would you replace a single \xe2\x80\x98roni?'
danieltosh,b'hey @dominos is it just for pizza? or does it also cover pasta mishaps?'
danieltosh,b'hey @dominos how many pizzas have you actually had to replace? my guess is under 2.'
danieltosh,b'hey @dominos i have a few questions about your stupid carryout insurance deal.'
danieltosh,b'new york new york new york!! late show added on saturday night!\ntickets on sale now! https://t.co/ZdoOWfu4tF'
danieltosh,"b""check out all the work i've had done on my face!\nhttps://t.co/VcM8gOwJ45"""
danieltosh,"b""can't live tweet #tosh tonight, my ballerina wife and i are on a tear in duos. see you losers on the battlefield!! 30 minute warning!"""
danieltosh,"b""sometimes i get accused of only tweeting to promote my show but that's just from this handle, see if you can find my alt account where i tweet about politics and feelings and stuff. btw new #tosh tonight at 10!"""
danieltosh,"b'tonight, gender lines will be blurred. new #tosh at 10.'"
danieltosh,b'what do i do with the other $50?! https://t.co/unIqeP5X0t'
danieltosh,b'not worth it! i hate washing that thing. too many pieces!!! https://t.co/JxEpE4PEen'
danieltosh,b'i bet the castle already has a nespresso. https://t.co/7blYFr4Vj7'
danieltosh,b'james hewitt https://t.co/jOXdFCCR2J'
danieltosh,b'any last minute gift ideas for the royal wedding? i\xe2\x80\x99ll take suggestions now. keep it under $100!'
